date,machine_id,product_type,shift,workers,machine_hours,downtime_hours,maintenance_hours,material_availability_pct,quality_rate_pct,temperature_c,energy_consumption_kwh,production_target,actual_production,production_gap,shortfall_units,units_per_hour,required_ot_hours,ot_rate_per_hour,ot_workers,estimated_ot_cost,production_status
2024-01-05,M01,Product_B,Night,29,6.02,1.35,1.36,92.2,98.49,20.6,598.68,277,201,76,76,41.86,1.82,230,18,7534.8,Shortfall
2024-01-05,M03,Product_A,Morning,14,6.01,0.99,0.94,76.29,90.45,26.9,493.32,354,184,170,170,35.82,4.75,180,9,7695.0,Shortfall
2024-01-06,M03,Product_C,Morning,10,7.82,1.13,1.6,93.88,96.66,34.6,193.4,344,216,128,128,32.54,3.93,180,6,4244.4,Shortfall
2024-01-06,M05,Product_B,Evening,26,11.54,0.03,0.32,97.49,92.27,37.9,459.8,562,450,112,112,39.43,2.84,200,16,9088.0,Shortfall
2024-01-06,M04,Product_B,Morning,10,10.9,1.27,0.06,75.45,98.4,37.0,507.3,510,300,210,210,29.47,7.13,180,6,7700.4,Shortfall
2024-01-06,M05,Product_C,Morning,12,8.44,1.89,0.14,80.12,98.32,26.7,576.02,359,207,152,152,28.16,5.4,180,8,7776.0,Shortfall
2024-01-06,M01,Product_C,Morning,30,11.16,1.21,1.41,79.81,92.94,30.4,247.58,467,336,131,131,33.6,3.9,180,18,12636.0,Shortfall
2024-01-06,M01,Product_A,Night,24,8.21,2.78,1.04,78.3,88.06,37.9,545.9,433,198,235,235,31.34,7.5,230,15,25875.0,Shortfall
2024-01-07,M01,Product_C,Morning,28,6.9,1.79,0.37,99.75,99.44,26.6,420.56,307,242,65,65,41.83,1.55,180,17,4743.0,Shortfall
2024-01-07,M02,Product_A,Evening,14,10.27,1.66,1.83,94.54,91.83,22.5,377.98,547,354,193,193,40.61,4.75,200,9,8550.0,Shortfall
2024-01-07,M04,Product_A,Evening,18,10.41,2.77,0.24,98.81,88.77,20.3,180.12,508,382,126,126,43.4,2.9,200,11,6380.0,Shortfall
2024-01-07,M02,Product_A,Night,23,9.25,2.21,1.27,81.78,90.54,36.1,430.55,444,277,167,167,36.5,4.58,230,14,14747.6,Shortfall
2024-01-07,M04,Product_B,Evening,30,7.13,2.94,0.37,89.36,88.94,20.5,375.42,321,215,106,106,39.94,2.65,200,18,9540.0,Shortfall
2024-01-07,M05,Product_B,Morning,15,6.68,2.32,0.18,89.47,95.21,21.7,531.02,338,208,130,130,38.94,3.34,180,9,5410.8,Shortfall
2024-01-08,M01,Product_B,Evening,25,8.13,0.87,1.49,83.18,98.03,33.8,512.54,394,286,108,108,40.11,2.69,200,15,8070.0,Shortfall
2024-01-08,M01,Product_C,Morning,23,10.73,0.32,0.66,80.96,92.5,26.9,477.84,463,329,134,134,31.87,4.2,180,14,10584.0,Shortfall
2024-01-08,M03,Product_B,Night,22,8.66,2.16,1.72,75.41,96.59,34.8,346.7,399,196,203,203,28.53,7.12,230,14,22926.4,Shortfall
2024-01-08,M05,Product_A,Evening,11,6.36,1.33,1.91,99.96,97.78,21.6,618.8,340,203,137,137,40.93,3.35,200,7,4690.0,Shortfall
2024-01-08,M02,Product_A,Night,22,10.68,1.19,1.91,84.9,94.99,22.6,646.18,545,354,191,191,37.83,5.05,230,14,16261.0,Shortfall
2024-01-08,M02,Product_A,Morning,11,8.2,1.17,0.34,94.17,93.65,25.2,459.25,449,311,138,138,41.82,3.3,180,7,4158.0,Shortfall
2024-01-08,M04,Product_B,Morning,19,11.75,2.58,1.96,98.75,90.41,21.6,434.82,525,394,131,131,40.85,3.21,180,12,6933.6,Shortfall
2024-01-08,M01,Product_A,Morning,21,8.22,0.82,1.07,85.01,92.94,24.9,263.52,461,338,123,123,45.71,2.69,180,13,6294.6,Shortfall
2024-01-08,M04,Product_B,Morning,10,6.19,0.23,1.18,75.31,89.32,27.2,215.84,282,128,154,154,22.65,6.8,180,6,7344.0,Shortfall
2024-01-08,M05,Product_B,Morning,8,10.64,1.43,0.23,77.7,91.45,24.1,233.33,523,288,235,235,29.47,7.97,180,5,7173.0,Shortfall
2024-01-08,M02,Product_B,Evening,28,7.06,0.04,1.78,98.2,94.83,31.8,475.13,323,296,27,27,46.14,0.59,200,17,2006.0,Shortfall
2024-01-08,M01,Product_A,Morning,29,7.48,1.46,0.78,98.59,94.99,32.1,272.95,401,357,44,44,55.75,0.79,180,18,2559.6,Shortfall
2024-01-08,M03,Product_B,Morning,26,11.81,1.26,1.58,88.92,90.54,35.7,539.64,634,450,184,184,42.6,4.32,180,16,12441.6,Shortfall
2024-01-09,M01,Product_B,Morning,21,9.51,2.88,1.47,91.37,91.47,32.1,227.91,460,307,153,153,41.42,3.69,180,13,8634.6,Shortfall
2024-01-09,M03,Product_A,Morning,10,6.53,0.45,1.9,96.39,96.19,33.8,250.31,382,231,151,151,41.12,3.67,180,6,3963.6,Shortfall
2024-01-09,M02,Product_A,Night,23,6.84,0.93,1.85,92.87,95.45,35.8,559.81,335,250,85,85,44.01,1.93,230,14,6214.6,Shortfall
2024-01-09,M04,Product_A,Evening,17,9.77,0.85,0.16,77.76,97.6,37.7,579.93,486,330,156,156,35.69,4.37,200,11,9614.0,Shortfall
2024-01-09,M03,Product_B,Evening,24,11.88,1.48,1.73,97.23,97.48,28.2,445.18,600,494,106,106,47.23,2.24,200,15,6720.0,Shortfall
2024-01-09,M04,Product_A,Evening,16,10.01,1.73,0.39,85.17,90.24,28.4,369.41,488,336,152,152,37.66,4.04,200,10,8080.0,Shortfall
2024-01-09,M04,Product_B,Night,8,11.59,1.47,1.35,87.04,89.01,35.1,276.09,503,258,245,245,25.03,9.79,230,5,11258.5,Shortfall
2024-01-10,M03,Product_B,Evening,12,8.73,1.25,1.92,87.2,99.95,36.9,362.57,453,258,195,195,35.0,5.57,200,8,8912.0,Shortfall
2024-01-10,M02,Product_A,Evening,19,8.32,0.38,0.8,76.3,96.86,37.7,452.71,448,292,156,156,37.29,4.18,200,12,10032.0,Shortfall
2024-01-10,M05,Product_A,Evening,8,8.24,2.09,0.76,78.25,95.45,20.8,363.44,423,217,206,206,31.8,6.48,200,5,6480.0,Shortfall
2024-01-10,M01,Product_A,Night,27,9.51,1.69,1.17,93.73,97.97,25.5,386.38,486,398,88,88,48.71,1.81,230,17,7077.1,Shortfall
2024-01-10,M03,Product_A,Evening,24,9.48,2.93,1.72,88.68,99.28,27.0,183.57,534,355,179,179,48.85,3.66,200,15,10980.0,Shortfall
2024-01-10,M04,Product_B,Night,9,11.43,0.04,0.43,97.37,94.55,23.8,265.11,468,381,87,87,33.84,2.57,230,6,3546.6,Shortfall
2024-01-10,M03,Product_A,Night,23,11.91,0.38,0.48,83.21,89.02,27.3,387.42,642,445,197,197,38.58,5.11,230,14,16454.2,Shortfall
2024-01-11,M03,Product_B,Morning,18,10.51,0.51,0.76,89.9,95.09,29.1,589.54,529,441,88,88,44.26,1.99,180,11,3940.2,Shortfall
2024-01-11,M05,Product_A,Evening,26,9.2,0.0,0.06,97.08,99.77,35.9,402.15,493,448,45,45,48.81,0.92,200,16,2944.0,Shortfall
2024-01-11,M02,Product_B,Morning,28,7.72,1.18,0.31,92.25,89.29,22.3,316.71,378,278,100,100,39.93,2.5,180,17,7650.0,Shortfall
2024-01-11,M02,Product_A,Evening,10,10.29,2.29,1.8,88.7,93.78,26.2,579.75,534,362,172,172,43.09,3.99,200,6,4788.0,Shortfall
2024-01-11,M01,Product_C,Evening,19,6.45,2.38,0.84,94.97,89.79,30.3,303.85,271,176,95,95,36.31,2.62,200,12,6288.0,Shortfall
2024-01-11,M04,Product_A,Evening,20,11.37,1.74,1.3,97.39,93.77,22.9,637.75,599,455,144,144,45.69,3.15,200,12,7560.0,Shortfall
2024-01-11,M05,Product_B,Night,30,10.74,0.12,1.82,75.75,99.18,32.1,353.23,468,342,126,126,34.07,3.7,230,18,15318.0,Shortfall
2024-01-11,M04,Product_C,Morning,17,10.3,2.8,0.86,75.34,92.34,24.5,445.66,424,219,205,205,25.89,7.92,180,11,15681.6,Shortfall
2024-01-12,M04,Product_A,Morning,9,8.2,2.83,0.57,87.73,89.82,29.6,334.33,417,248,169,169,38.49,4.39,180,6,4741.2,Shortfall
2024-01-12,M01,Product_B,Morning,29,8.79,0.64,1.35,77.9,88.63,23.3,392.27,420,271,149,149,34.02,4.38,180,18,14191.2,Shortfall
2024-01-12,M05,Product_B,Morning,25,6.06,0.66,1.61,83.92,88.78,25.1,519.65,306,187,119,119,36.43,3.27,180,15,8829.0,Shortfall
2024-01-12,M02,Product_C,Morning,18,9.16,0.27,0.92,93.1,92.89,22.3,427.05,366,310,56,56,35.68,1.57,180,11,3108.6,Shortfall
2024-01-12,M01,Product_A,Evening,13,7.96,1.98,0.89,94.07,97.02,20.5,568.64,451,295,156,156,44.97,3.47,200,8,5552.0,Shortfall
2024-01-12,M03,Product_B,Evening,24,6.42,0.83,0.99,94.01,90.06,26.0,597.7,324,240,84,84,42.73,1.97,200,15,5910.0,Shortfall
2024-01-12,M02,Product_C,Evening,30,8.2,2.82,1.78,82.82,99.03,30.4,603.75,315,202,113,113,33.52,3.37,200,18,12132.0,Shortfall
2024-01-12,M04,Product_B,Evening,20,6.76,0.76,1.13,75.8,90.85,26.1,349.9,308,187,121,121,31.45,3.85,200,12,9240.0,Shortfall
2024-01-12,M04,Product_B,Morning,19,11.29,0.05,0.14,80.83,88.48,21.3,328.77,532,363,169,169,32.37,5.22,180,12,11275.2,Shortfall
2024-01-12,M02,Product_A,Morning,13,7.89,2.39,1.07,85.36,90.61,20.7,313.79,408,255,153,153,41.12,3.72,180,8,5356.8,Shortfall
2024-01-12,M03,Product_C,Evening,26,10.5,1.33,0.89,94.81,96.54,29.4,206.11,460,376,84,84,39.76,2.11,200,16,6752.0,Shortfall
2024-01-12,M01,Product_B,Morning,12,7.9,0.57,0.53,93.27,99.46,21.2,561.18,408,330,78,78,44.59,1.75,180,8,2520.0,Shortfall
2024-01-13,M01,Product_A,Morning,8,6.62,0.44,0.96,90.27,97.11,24.2,537.06,358,246,112,112,40.71,2.75,180,5,2475.0,Shortfall
2024-01-13,M03,Product_A,Evening,20,11.36,1.13,0.61,83.23,93.35,28.9,506.6,664,447,217,217,42.47,5.11,200,12,12264.0,Shortfall
2024-01-13,M04,Product_B,Evening,13,10.34,2.7,0.48,82.78,98.96,21.7,421.71,459,287,172,172,33.04,5.21,200,8,8336.0,Shortfall
2024-01-13,M03,Product_A,Morning,15,6.96,1.39,1.46,96.48,90.31,26.7,622.47,391,271,120,120,47.67,2.52,180,9,4082.4,Shortfall
2024-01-13,M02,Product_B,Morning,23,6.14,1.23,0.18,80.53,95.22,29.3,475.62,285,208,77,77,38.51,2.0,180,14,5040.0,Shortfall
2024-01-13,M04,Product_B,Evening,20,10.94,1.67,0.45,76.1,94.61,35.7,581.77,472,280,192,192,28.39,6.76,200,12,16224.0,Shortfall
2024-01-13,M02,Product_C,Morning,12,10.68,0.53,0.78,87.56,89.34,32.9,391.34,453,313,140,140,30.94,4.52,180,8,6508.8,Shortfall
2024-01-14,M02,Product_C,Morning,21,11.61,2.82,0.1,89.63,92.44,31.6,499.3,460,342,118,118,34.12,3.46,180,13,8096.4,Shortfall
2024-01-14,M05,Product_A,Night,26,8.47,1.24,1.23,99.97,95.12,34.2,462.78,424,357,67,67,48.52,1.38,230,16,5078.4,Shortfall
2024-01-14,M02,Product_A,Morning,15,7.69,1.13,0.95,91.48,99.27,20.5,543.84,396,307,89,89,45.58,1.95,180,9,3159.0,Shortfall
2024-01-14,M03,Product_B,Evening,26,6.98,2.09,1.55,76.32,88.97,29.8,605.39,342,196,146,146,37.07,3.94,200,16,12608.0,Shortfall
2024-01-14,M03,Product_C,Night,11,9.24,1.93,1.48,85.59,99.68,23.5,537.14,392,232,160,160,30.29,5.28,230,7,8500.8,Shortfall
2024-01-14,M03,Product_C,Morning,28,7.64,2.5,1.5,89.69,89.87,32.6,365.67,351,227,124,124,39.55,3.14,180,17,9608.4,Shortfall
2024-01-14,M05,Product_B,Night,16,7.29,1.03,1.42,86.35,90.19,28.1,267.86,316,211,105,105,33.89,3.1,230,10,7130.0,Shortfall
2024-01-14,M05,Product_A,Night,18,10.94,1.35,0.83,90.22,88.75,35.1,386.63,562,366,196,196,36.94,5.31,230,11,13434.3,Shortfall
2024-01-14,M04,Product_B,Morning,8,11.8,0.61,1.95,99.14,91.67,24.6,475.48,567,385,182,182,35.71,5.1,180,5,4590.0,Shortfall
2024-01-14,M04,Product_B,Evening,14,6.58,1.21,0.74,83.39,99.89,22.7,195.13,303,183,120,120,32.36,3.71,200,9,6678.0,Shortfall
2024-01-15,M02,Product_B,Morning,11,10.6,2.59,1.69,85.51,95.12,20.6,212.4,495,298,197,197,34.72,5.67,180,7,7144.2,Shortfall
2024-01-15,M04,Product_C,Evening,12,8.98,0.09,0.21,97.02,98.41,33.5,184.47,355,298,57,57,33.65,1.69,200,8,2704.0,Shortfall
2024-01-15,M03,Product_B,Night,17,9.37,1.13,0.85,78.21,96.67,21.8,314.07,423,295,128,128,34.91,3.67,230,11,9285.1,Shortfall
2024-01-15,M03,Product_B,Evening,17,6.23,0.6,1.39,80.72,95.36,27.2,207.09,313,203,110,110,37.5,2.93,200,11,6446.0,Shortfall
2024-01-15,M01,Product_B,Morning,23,8.27,1.49,1.03,80.82,92.65,22.0,580.17,420,271,149,149,38.22,3.9,180,14,9828.0,Shortfall
2024-01-15,M04,Product_A,Morning,18,8.55,0.91,1.3,88.38,90.81,33.6,402.48,447,307,140,140,40.42,3.46,180,11,6850.8,Shortfall
2024-01-15,M02,Product_B,Night,8,9.77,2.47,1.75,92.36,90.47,36.5,488.11,423,226,197,197,28.98,6.8,230,5,7820.0,Shortfall
2024-01-15,M01,Product_C,Morning,29,8.42,1.0,1.03,85.67,99.64,36.8,406.39,356,275,81,81,36.62,2.21,180,18,7160.4,Shortfall
2024-01-15,M04,Product_A,Morning,23,8.91,2.96,1.69,76.67,92.13,37.4,287.31,482,224,258,258,33.48,7.71,180,14,19429.2,Shortfall
2024-01-15,M05,Product_B,Morning,27,6.24,1.63,0.49,82.6,97.01,21.2,488.38,308,204,104,104,39.44,2.64,180,17,8078.4,Shortfall
2024-01-16,M04,Product_A,Evening,12,8.17,1.56,0.22,92.16,96.77,36.3,409.16,396,274,122,122,37.87,3.22,200,8,5152.0,Shortfall
2024-01-16,M02,Product_B,Morning,20,9.32,0.28,1.36,76.88,93.57,35.6,327.66,440,275,165,165,31.65,5.21,180,12,11253.6,Shortfall
2024-01-16,M05,Product_A,Night,9,8.86,1.0,0.53,79.68,98.74,33.7,401.64,446,260,186,186,32.0,5.81,230,6,8017.8,Shortfall
2024-01-16,M02,Product_B,Night,13,10.42,1.53,1.08,82.04,90.14,23.4,610.91,455,288,167,167,31.3,5.34,230,8,9825.6,Shortfall
2024-01-16,M04,Product_A,Evening,8,11.38,0.07,1.59,91.79,97.49,26.4,375.84,553,399,154,154,37.0,4.16,200,5,4160.0,Shortfall
2024-01-16,M01,Product_C,Morning,8,9.68,1.36,0.1,99.54,88.16,32.0,209.26,415,263,152,152,29.56,5.14,180,5,4626.0,Shortfall
2024-01-17,M01,Product_B,Morning,17,9.62,1.0,0.33,77.57,91.27,37.9,422.92,483,285,198,198,31.83,6.22,180,11,12315.6,Shortfall
2024-01-17,M03,Product_B,Night,15,11.95,0.43,1.53,82.74,97.09,23.3,450.42,569,388,181,181,34.71,5.21,230,9,10784.7,Shortfall
2024-01-17,M03,Product_B,Evening,10,8.49,2.22,1.94,95.14,99.36,34.7,501.11,433,242,191,191,36.72,5.2,200,6,6240.0,Shortfall
2024-01-17,M02,Product_B,Evening,18,7.2,2.19,1.38,98.21,88.98,26.3,436.77,321,228,93,93,41.36,2.25,200,11,4950.0,Shortfall
2024-01-17,M04,Product_A,Morning,17,8.3,1.98,0.74,86.33,94.97,34.0,212.17,448,276,172,172,39.7,4.33,180,11,8573.4,Shortfall
2024-01-17,M03,Product_A,Morning,9,9.4,1.4,0.58,86.35,91.58,20.6,562.94,569,316,253,253,37.5,6.75,180,6,7290.0,Shortfall
2024-01-17,M01,Product_C,Morning,14,11.19,2.47,0.32,90.24,90.16,35.7,291.41,482,283,199,199,29.12,6.83,180,9,11064.6,Shortfall
2024-01-17,M03,Product_B,Morning,9,9.71,2.29,0.83,76.11,99.63,23.3,589.38,500,285,215,215,34.93,6.16,180,6,6652.8,Shortfall
2024-01-17,M05,Product_A,Night,21,6.51,1.4,1.42,96.79,89.8,37.0,351.85,320,212,108,108,40.43,2.67,230,13,7983.3,Shortfall
2024-01-17,M02,Product_C,Night,14,10.5,0.7,1.75,75.95,92.48,25.9,470.53,390,223,167,167,23.47,7.12,230,9,14738.4,Shortfall
2024-01-17,M01,Product_B,Morning,10,6.32,2.57,0.75,89.04,88.78,37.2,552.02,317,151,166,166,32.52,5.1,180,6,5508.0,Shortfall
2024-01-18,M05,Product_C,Night,23,8.03,0.19,0.4,79.06,90.58,25.6,192.25,325,210,115,115,26.97,4.26,230,14,13717.2,Shortfall
2024-01-18,M03,Product_C,Night,24,9.91,0.2,1.69,96.72,92.09,25.0,308.15,416,337,79,79,36.6,2.16,230,15,7452.0,Shortfall
2024-01-18,M01,Product_A,Evening,13,9.02,0.93,0.94,98.1,94.82,20.0,582.31,476,350,126,126,42.79,2.94,200,8,4704.0,Shortfall
2024-01-18,M03,Product_A,Night,14,9.64,1.49,1.43,86.22,91.99,29.1,281.0,513,310,203,203,37.26,5.45,230,9,11281.5,Shortfall
2024-01-18,M05,Product_A,Morning,26,7.45,2.43,0.92,75.53,96.31,27.0,485.3,414,239,175,175,41.27,4.24,180,16,12211.2,Shortfall
2024-01-19,M04,Product_B,Evening,30,10.97,0.29,1.43,94.12,98.84,27.9,540.73,514,462,52,52,44.81,1.16,200,18,4176.0,Shortfall
2024-01-19,M05,Product_A,Evening,26,9.69,2.28,0.06,93.95,88.67,37.4,566.43,521,347,174,174,41.24,4.22,200,16,13504.0,Shortfall
2024-01-19,M02,Product_B,Morning,22,7.29,1.36,1.21,77.47,89.4,24.0,229.24,340,202,138,138,33.01,4.18,180,14,10533.6,Shortfall
2024-01-19,M01,Product_A,Evening,23,7.54,2.8,1.91,98.53,97.16,25.1,547.57,401,283,118,118,53.08,2.22,200,14,6216.0,Shortfall
2024-01-19,M05,Product_B,Morning,29,7.96,1.73,1.03,96.75,97.56,30.2,344.85,405,298,107,107,44.83,2.39,180,18,7743.6,Shortfall
2024-01-19,M01,Product_A,Morning,17,6.98,0.37,1.97,81.1,94.97,21.9,504.54,379,249,130,130,40.91,3.18,180,11,6296.4,Shortfall
2024-01-19,M01,Product_C,Night,18,7.36,2.49,1.29,84.82,90.7,22.3,263.13,299,152,147,147,27.44,5.36,230,11,13560.8,Shortfall
2024-01-20,M02,Product_A,Morning,13,8.07,2.45,0.91,96.08,88.86,33.9,469.69,433,275,158,158,42.94,3.68,180,8,5299.2,Shortfall
2024-01-20,M01,Product_C,Morning,18,8.37,1.41,1.98,90.64,89.6,28.5,435.18,361,235,126,126,34.05,3.7,180,11,7326.0,Shortfall
2024-01-20,M01,Product_B,Morning,13,10.87,0.3,0.04,77.86,93.8,37.8,201.58,534,327,207,207,30.59,6.77,180,8,9748.8,Shortfall
2024-01-20,M05,Product_B,Evening,8,8.68,2.08,0.77,75.62,95.39,28.5,337.29,413,208,205,205,28.62,7.16,200,5,7160.0,Shortfall
2024-01-21,M01,Product_A,Night,10,6.7,1.81,1.55,77.6,93.41,25.3,278.72,353,157,196,196,30.41,6.45,230,6,8901.0,Shortfall
2024-01-21,M05,Product_A,Morning,25,10.77,2.17,1.26,89.98,98.26,21.0,338.91,571,454,117,117,49.7,2.35,180,15,6345.0,Shortfall
2024-01-21,M02,Product_B,Morning,19,9.27,1.24,1.23,98.87,89.68,37.5,203.78,431,315,116,116,38.61,3.0,180,12,6480.0,Shortfall
2024-01-21,M05,Product_A,Evening,28,7.72,2.61,0.92,86.88,89.8,33.3,216.0,428,253,175,175,42.43,4.12,200,17,14008.0,Shortfall
2024-01-21,M04,Product_B,Morning,16,7.29,0.2,0.99,98.63,99.2,37.8,219.32,338,276,62,62,40.39,1.54,180,10,2772.0,Shortfall
2024-01-21,M01,Product_A,Evening,10,8.46,1.98,1.61,84.8,91.16,28.2,315.76,475,258,217,217,37.9,5.73,200,6,6876.0,Shortfall
